price,cost,sales,profit_margin,inventory,discount_percentage,delivery_days,category,material,color,location,season,store_type,brand,revenue
218.5430534813131,181.6109315609271,40,16.89924311574788,105,27.79643342252926,9,Bed,Plastic,Red,Rural,Spring,Online,BrandA,3949.1652384225717
477.8214378844623,385.0338270000528,7,19.418888213811293,192,26.943715041386362,6,Chair,Glass,Blue,Rural,Summer,Online,BrandD,-3521.002257553382
379.3972738151323,276.7367651620845,32,27.05884194177706,59,21.94813021558405,2,Table,Metal,Black,Suburban,Fall,Online,BrandD,14285.560218531968
319.3963178886665,281.8413339033847,48,11.758114255522672,45,11.009944418046624,2,Table,Glass,Green,Rural,Summer,Retail,BrandD,12261.073702970161
120.20838819909643,69.74368145421383,19,41.981019378863884,35,3.183762556947073,9,Chair,Glass,Brown,Rural,Fall,Online,BrandD,-4588.255733260207
120.1975341512912,65.35208253572743,6,45.629431587615144,185,20.6593515679317,8,Table,Plastic,Brown,Urban,Fall,Retail,BrandB,9136.301617300403
76.13762547568976,64.076267302059,20,15.841521321783114,165,29.35962244013895,9,Sofa,Glass,Green,Suburban,Summer,Online,BrandA,4128.412805176245
439.7792655987208,297.1412263381615,27,32.43400733465007,10,21.79813311995607,4,Sofa,Wood,White,Urban,Winter,Retail,BrandC,9516.966398265264
320.50175528444396,268.8328794200689,43,16.121245831717573,11,27.861881078320067,4,Bed,Fabric,Brown,Suburban,Spring,Retail,BrandD,8882.539029352223
368.63266000822045,316.0052171914995,37,14.276391792183402,169,24.129141388665502,2,Sofa,Fabric,Black,Urban,Spring,Retail,BrandD,8946.637741278517
59.263022433111104,31.112081525261615,48,47.50169625523715,38,4.893440253500363,1,Sofa,Plastic,Green,Urban,Spring,Online,BrandB,1201.7317505537335
486.45943347289744,415.13762397463546,7,14.66140948055756,198,7.476113117738619,4,Desk,Fabric,White,Rural,Fall,Retail,BrandB,1782.7705141267547
424.59918836018977,288.44195699460033,5,32.067237785223114,138,10.25596805287051,8,Desk,Wood,Blue,Rural,Fall,Retail,BrandB,-1043.2643163100413
145.55259980522428,102.49421022245916,11,29.58270043983071,35,5.047813330140124,2,Desk,Plastic,Blue,Suburban,Summer,Online,BrandA,1003.5102535511621
131.82123524319528,98.94989714417464,15,24.936299556271592,51,17.449539980190202,8,Desk,Metal,Black,Suburban,Winter,Retail,BrandC,-1415.105421091235
132.53202943404523,115.37616147795838,3,12.944695730796528,30,29.26351572404854,1,Table,Fabric,Black,Suburban,Summer,Retail,BrandA,1398.5169251787192
186.90900933179196,94.88369277476006,5,49.235356222809436,32,22.84376500308476,1,Bed,Glass,Black,Rural,Summer,Online,BrandD,603.6743864083217
286.140394234507,197.64786832229746,23,30.926261267287313,140,12.701602472023856,4,Bed,Wood,Brown,Urban,Winter,Retail,BrandB,2242.9353148063897
244.3752583889521,189.4125299219745,37,22.49111830277757,145,0.13513442940865983,7,Sofa,Wood,Black,Suburban,Fall,Online,BrandD,8595.562314842968
181.05311308911885,142.8658943615316,9,21.09172169207086,168,9.398280334145362,9,Bed,Fabric,Green,Rural,Summer,Online,BrandC,4191.031415730196
325.33380262507075,252.78858506979688,15,22.298702738515686,57,15.802778630766458,5,Sofa,Metal,Green,Rural,Summer,Online,BrandC,-7173.239161972418
112.77223729341883,62.45033877238309,3,44.62259482367512,183,9.727526215559118,2,Bed,Glass,White,Urban,Fall,Retail,BrandA,3196.3984039759175
181.46509184084817,112.46448509666885,29,38.024176465132754,151,3.3310476907157858,7,Chair,Metal,Green,Urban,Spring,Online,BrandA,-1044.709669183213
214.86282948216126,138.2612678491925,6,35.651378983319454,127,13.282948705856835,2,Chair,Metal,Brown,Rural,Winter,Retail,BrandB,-1176.4811192042946
255.23149289766616,209.74283023222108,17,17.822511692819795,30,7.597584508971487,9,Bed,Fabric,Blue,Urban,Winter,Retail,BrandB,-10139.130422505965
403.3291826268561,246.63738790947937,26,38.849605103417886,54,27.276971293845044,9,Table,Glass,White,Urban,Spring,Retail,BrandD,10454.45168163862
139.85320197126188,81.7137065328579,21,41.57180144531188,9,3.052635855030472,3,Sofa,Fabric,Green,Rural,Winter,Retail,BrandB,-853.9161998217528
281.4054972861252,248.47520301227496,8,11.702079238476152,187,1.4745788617413114,8,Bed,Fabric,Black,Suburban,Spring,Online,BrandB,-281.0040996531029
316.5865559879191,159.41567675748442,21,49.64546859546123,129,0.15942507464586142,4,Sofa,Wood,Green,Suburban,Summer,Online,BrandD,7091.019255899917
